Entry,RbCtlR1,RbCtlR2,RbCtlR3,RbCtlR4,RbTrtR1,RbTrtR2,RbTrtR3,RbTrtR4,RbTrtR5,RbTrtR6,RbTrtR7,RnaCtlR1,RnaCtlR2,RnaCtlR3,RnaTrtR1,RnaTrtR2,RnaTrtR3,RnaTrtR4,RnaTrtR5,RnaTrtR6
FBgn0037251,15,32,11,26,31,12,15,19,22,4,10,44,43,51,44,37,39,46,48,38
FBgn0037252,52,70,65,27,86,50,37,22,64,38,17,6999,6446,7537,6033,6400,5904,7342,6283,6023
FBgn0051522,42,54,29,17,57,40,62,17,55,10,17,1327,1301,1395,1219,1279,1150,1226,1086,1041
FBgn0051523,33,69,190,51,124,74,100,56,88,41,46,8787,8371,9642,7839,7402,7059,9314,8424,7624
FBgn0037254,0,0,0,0,0,0,0,0,0,0,1,3,4,0,5,1,4,9,6,2
FBgn0037255,272,321,356,173,359,180,279,209,265,173,138,4952,4346,5074,3857,3504,4139,5171,4637,3629
FBgn0085386,1,0,1,0,0,0,0,1,0,0,0,1,4,11,9,8,10,15,6,8
FBgn0085454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
FBgn0037260,0,0,1,0,0,0,0,1,0,1,0,3,2,3,1,1,3,3,3,2
FBgn0052945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0087012,1,1,0,0,3,0,0,0,0,0,0,8,7,11,39,34,24,22,16,33
FBgn0037261,307,448,329,243,503,294,300,292,368,186,161,7566,6998,7813,6820,6621,6427,7606,7073,6606
FBgn0037262,94,73,78,48,135,78,113,42,108,74,38,2860,2472,2883,2199,1988,2015,2421,2284,1935
FBgn0037263,13,9,3,6,15,19,12,13,15,9,7,473,427,490,456,399,487,500,495,395
FBgn0040466,16,32,19,26,50,20,28,19,35,12,13,1416,1405,1614,956,919,873,911,857,783
FBgn0022981,130,216,207,132,332,177,201,100,193,110,57,4856,4232,5004,4301,3977,3950,4387,4301,3858
FBgn0087013,1605,2147,2014,994,2462,1619,1496,1104,1650,985,818,19871,22354,23781,30592,34287,26232,28302,26835,30525
FBgn0037265,48,75,63,35,76,35,43,43,48,28,21,427,465,540,614,602,532,514,472,456
FBgn0263346,136,253,231,143,235,137,185,113,252,137,88,8214,8237,9481,8658,9611,8285,9177,7988,8300
FBgn0053927,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,1,1,1
FBgn0037270,301,381,367,136,405,273,260,187,240,143,122,11616,10704,11670,12368,12162,11044,13292,11926,11196
FBgn0027570,98,181,119,93,285,93,143,127,298,46,75,263,229,267,221,387,329,340,399,308
FBgn0026620,1125,1292,991,864,1459,683,830,482,1343,634,504,12546,12089,14483,12054,11657,11448,13952,13682,11925
