Entry,RbCtlR1,RbCtlR2,RbCtlR3,RbTrtR1,RbTrtR2,RbTrtR3,RnaCtlR1,RnaCtlR2,RnaCtlR3,RnaCtlR4,RnaTrtR1,RnaTrtR2,RnaTrtR3,RnaTrtR4
Evi5l,344,483,498,311,371,331,1903,1964,1719,1935,1956,2244,1644,1949
Pex5l,831,1156,1265,929,1038,994,5050,5241,4663,5089,5304,5937,4715,5181
Mtmr1,157,208,196,165,209,156,1221,1372,1180,1212,1216,1503,1170,1306
Mtor,850,1128,1104,709,848,709,3124,2977,2753,2950,2900,3219,2608,2876
Zfp758,11,8,8,16,17,10,304,361,261,304,286,293,304,271
Plekhh2,19,21,23,15,20,16,145,142,142,161,162,188,127,178
Adgrl3,887,1112,1255,857,866,838,6371,6547,5702,6147,5701,6484,5451,5848
Golga5,169,198,215,169,169,170,684,699,630,729,643,754,591,611
Plekhb1,421,591,616,389,530,499,1949,1773,2008,2714,2413,2639,1957,2368
Nufip1,91,130,159,97,81,92,340,343,315,317,311,370,260,279
Smap1,951,1260,1307,919,1090,972,857,926,838,982,926,1075,950,944
Tepp,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Acox2,1,0,1,0,1,1,3,6,2,3,4,1,4,5
Hars2,84,120,119,100,102,99,428,395,343,302,377,405,317,375
Gpa33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sdhb,874,1168,1161,947,1000,977,1896,1928,1821,1996,1979,2306,1781,2009
Gmpr,351,468,493,335,341,363,678,640,523,616,681,732,508,620
Krt90,1,3,3,2,3,0,3,3,0,0,1,1,1,1
Me1,77,109,110,85,100,81,696,633,622,584,778,852,757,729
Klk11,0,0,1,0,0,0,0,0,1,1,0,0,1,1
Magt1,76,93,112,90,81,86,649,657,578,627,587,709,525,554
Mcam,264,387,349,234,282,217,512,453,473,552,503,522,417,440
Pbld1,0,0,0,0,0,0,0,2,0,3,0,2,4,2
Tab2,60,89,100,49,68,58,1370,1417,1230,1445,1377,1593,1125,1304
Mettl27,8,18,12,14,16,10,151,122,133,194,183,210,124,181
Trmt1,88,119,133,87,111,104,424,451,446,489,508,605,375,539
Vps37c,62,91,84,69,80,67,392,416,374,429,424,508,335,466
Sec23a,895,1117,1209,758,941,816,4014,4079,3555,3797,3278,3997,3107,3421
Rara,26,27,27,27,27,38,110,108,99,161,152,195,103,155
Med1,230,277,313,213,232,185,1472,1422,1269,1312,1492,1717,1335,1388
Ap5b1,36,53,43,45,36,29,75,75,72,75,73,98,90,81
Bag5,220,349,332,254,250,242,1032,1065,890,958,901,1015,813,900
Pdcd2l,86,101,97,95,109,91,227,233,197,240,175,269,162,243
Ctcf,365,432,432,274,347,306,1082,1113,959,1071,1136,1276,1114,1180
Mnd1,1,1,0,1,4,4,11,13,5,9,6,10,9,6
Tktl1,0,0,1,0,0,1,1,0,1,1,3,4,1,4
Lix1,59,76,74,65,70,65,1113,1100,1291,1383,1005,1221,1037,999
Ctnnbl1,189,278,322,235,221,223,591,521,427,537,461,485,400,452
Snph,446,576,601,368,462,471,4262,4010,4089,5350,5556,5990,4334,5304
Raet1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppm1m,29,32,29,20,26,19,241,238,224,232,222,246,218,219
Prkar1a,3924,5186,5180,3430,3958,3611,12065,12372,10425,10545,10993,12572,10875,11164
Slc27a3,26,30,34,18,24,12,68,53,46,65,44,54,44,57
Impdh2,15,8,8,17,18,17,479,465,456,460,513,615,437,543
Tiprl,231,294,273,228,264,240,822,844,765,767,798,1028,779,843
Uaca,38,53,70,38,24,28,207,209,153,137,236,238,141,231
Smim31,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Calca,4,2,9,2,3,3,30,33,17,10,16,22,10,17
Phf3,496,672,708,409,430,402,2347,2554,2107,2316,2299,2655,2016,2336
Ube2q2,29,28,36,21,26,23,1035,1192,941,890,1099,1244,1108,1122
Rfx3,241,310,373,255,245,259,2783,2948,2501,2530,2302,2707,2627,2339
Bri3,75,80,100,58,84,64,90,75,104,108,175,155,114,154
Fbxo27,23,17,19,19,21,22,105,104,99,107,126,130,117,129
Eps15l1,364,470,499,307,330,354,858,771,838,837,825,946,662,881
Tmprss15,0,0,0,0,0,1,2,3,8,4,3,6,9,1
Max,117,121,129,99,140,119,669,600,674,704,683,789,570,701
Ttc8,41,71,73,90,84,76,308,330,292,337,337,412,259,338
Vti1b,303,384,373,312,329,307,2843,2914,2515,2993,2377,2787,2340,2532
Cpsf3,325,405,384,320,338,304,767,748,678,790,818,903,684,821
Nlgn1,337,460,438,339,338,284,4784,5050,4399,4469,4468,5096,4171,4191
Casq2,22,14,20,21,17,10,68,51,35,45,60,66,32,60
Pidd1,2,3,2,0,1,0,14,6,10,9,18,14,17,10
Asb4,16,11,17,7,9,6,58,40,32,23,21,21,18,25
Orc4,157,183,198,194,215,205,983,1067,865,848,993,1110,940,923
Mapkbp1,174,242,302,142,169,165,1495,1341,1360,1351,1418,1618,1165,1411
Mospd1,15,15,18,17,12,29,293,314,282,264,293,321,295,311
Banf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dclk1,6049,7842,7946,5761,6663,6101,28135,28271,24676,26838,29690,33656,26699,28769
Gpcpd1,534,617,671,630,701,645,2914,3232,2654,2430,3498,3950,3270,3503
Sinhcaf,0,0,0,0,0,0,5,3,8,6,7,6,3,5
Acbd5,209,232,267,189,207,175,2210,2393,2057,1901,2224,2747,2341,2268
Myo7a,74,101,102,72,89,77,450,428,398,460,471,549,374,486
Luc7l2,197,224,279,204,254,251,3041,3255,2577,2171,3058,3386,2610,2948
Dnah8,10,19,23,9,8,9,41,35,33,28,44,52,23,42
Evc,10,8,16,5,3,18,108,128,99,124,96,127,96,100
Shroom2,406,611,573,452,569,508,3460,3525,3254,3242,3459,4009,3102,3545
Kmt2e,295,370,391,255,287,252,2273,2389,1986,1955,2401,2856,1960,2442
Setd5,185,222,243,204,187,169,2719,2651,2242,2598,2923,3244,2301,2899
Pcyox1,508,685,648,541,621,537,2636,2554,2514,2754,2701,3138,2655,2710
Arpp21,1240,1532,1644,1149,1183,1140,15077,15357,14456,16034,15121,16716,12766,14821
Iyd,1,2,1,1,2,1,6,9,5,9,3,7,3,11
Smim4,65,64,98,65,63,63,105,92,114,98,89,90,65,90
Smc6,165,236,264,167,207,188,1301,1369,1065,1046,1183,1429,1132,1154
Nsmf,252,290,329,211,287,260,6645,6276,7049,9209,9098,10196,6934,8856
Hmbs,28,42,42,35,44,35,188,176,177,245,218,279,138,210
Slc35b1,186,231,250,209,198,182,819,825,785,948,826,929,683,803
Synj2,194,268,258,222,232,218,1815,1758,1659,2048,2181,2255,1653,1980
Suds3,197,308,286,205,223,225,1659,1733,1602,1876,1601,1868,1351,1588
Ptk2b,1787,2366,2527,1833,2007,1867,5432,4874,4979,6127,5924,6467,5452,5736
Gfm2,75,108,116,88,87,92,445,415,353,378,448,517,302,455
Rlim,341,480,510,392,459,388,2730,3139,2675,2551,2877,3329,3072,2838
Ddt,87,152,138,171,178,155,213,259,292,289,267,332,293,236
Epha3,42,65,89,39,43,28,508,503,472,442,336,397,376,355
Gatad2a,77,117,115,66,83,87,526,491,498,644,550,657,487,622
Shc1,11,12,21,11,10,6,143,139,133,123,164,171,140,139
Anks1b,1027,1441,1442,1160,1303,1139,7824,8135,7564,8476,7937,8908,7111,7760
Cdk6,5,8,7,10,11,6,183,174,166,153,205,230,139,200
Cdk5r2,744,977,999,953,1021,1051,2262,2334,2176,2222,2971,3302,2756,2955
Cdk5r1,834,1128,1161,909,1119,1041,7810,7724,7309,7922,8445,9570,7535,8268
Kdm1a,533,697,764,522,519,533,1926,1982,1609,1708,1859,2079,1541,1774
Olfr192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaf4,227,288,315,149,180,158,315,279,219,243,290,348,267,253
Plcxd2,167,230,226,183,206,199,4739,4863,4160,4389,5047,6130,4730,5060
Morc2a,213,263,310,190,247,219,1012,1043,843,911,999,1093,916,994
Atp6v1c2,9,12,8,3,7,6,41,43,33,37,29,30,23,18
C5ar1,6,5,11,7,11,4,3,5,8,5,12,3,6,11
Map1a,11070,14742,15337,7168,8192,7565,32581,30471,28573,31343,30839,33675,28628,30389
Gja5,1,2,9,3,6,2,19,19,24,12,23,24,10,21
Runx2,14,20,13,5,21,9,84,84,93,100,99,128,64,96
Gja3,1,2,3,0,0,1,3,3,4,9,2,2,1,4
Ackr3,60,85,74,58,73,84,132,135,106,112,189,153,102,185
Socs1,1,1,2,2,3,3,12,12,10,14,14,18,14,22
Sort1,1962,2683,2636,2006,2264,2062,11829,11433,11231,12113,12226,13566,11257,11857
Rangrf,3,7,2,1,2,3,102,96,95,93,72,89,53,71
Phyhd1,12,29,27,27,23,23,120,114,125,142,161,154,86,138
Slc4a9,2,0,3,0,0,0,0,4,1,2,1,0,4,2
Specc1,353,457,443,277,304,289,1905,1792,1591,1711,1697,1950,1329,1688
Gtf2a2,79,75,97,78,85,76,554,574,501,532,466,533,408,442
Deaf1,72,87,101,69,75,59,930,920,904,1076,1206,1235,936,1107
Mtarc1,0,0,0,1,0,0,3,3,3,1,2,5,0,3
Set,37,44,47,38,54,49,2649,2786,2487,2789,2376,2644,2352,2306
Glra3,90,124,122,83,71,78,865,944,764,680,599,708,682,621
Dnhd1,2,0,4,5,2,2,125,109,75,67,106,122,60,115
Tmem247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pgpep1l,0,2,0,1,0,0,12,6,9,2,12,3,4,7
Notch3,82,109,119,70,78,69,398,366,273,253,386,433,222,371
Gtsf1l,1,0,0,0,0,0,1,1,0,2,2,0,2,2
Chml,36,45,37,39,37,21,735,822,631,632,756,876,632,755
Rnf212,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Tceal8,239,324,360,238,252,251,718,903,784,790,788,851,782,769
Olfr935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gng10,73,88,78,65,74,61,1005,1116,1072,1044,960,1069,977,1009
Mrps18b,77,114,115,79,105,90,141,128,141,209,165,169,111,145
D16Ertd472e,31,27,45,33,31,24,299,339,327,306,313,315,290,316
