gene_name,tpm_rbctr1,tpm_rbctr2,tpm_rbctr3,tpm_rnactr1,tpm_rnactr2,tpm_rnactr3,tpm_rnactr4,avg_rpf,avg_rna
Zfp772,4.1995,2.18195,4.61088,13.27662,12.72527,11.34298,11.38519,3.66411,12.18251
A730046J19Rik,0.26247,0.19836,0.38424,0.97543,1.083,0.71265,0.4358,0.28169,0.80172
Akr1c18,1.04988,1.78523,2.11332,0.70447,0.81225,0.83142,1.74319,1.64947,1.02283
Plxnb3,76.37841,82.31902,69.16314,32.24322,29.62009,33.07873,34.21006,75.95352,32.28803
Zfp429,0.52494,1.19015,0.76848,1.95085,2.2743,2.85059,1.68871,0.82786,2.19111
Cartpt,38.84538,39.07674,37.65548,12.35539,12.94187,14.01541,16.01554,38.52587,13.83205
Dcst1,1.04988,1.19015,0.57636,2.43856,2.2743,2.55365,3.37743,0.9388,2.66099
Smim1,3.67456,4.76062,3.45816,6.23188,5.25256,5.99812,6.80933,3.96445,6.07297
E4f1,13.64838,13.88514,14.21687,8.72464,9.80116,9.26442,10.24123,13.91679,9.50786
Rrp9,25.45947,25.38996,24.97558,14.68557,14.24147,14.66867,14.21787,25.275,14.45339
Cacng6,1.04988,0.59508,1.53696,1.19219,0.27075,1.18775,0.76264,1.06064,0.85333
Plekhg4,1.04988,0.79344,0.19212,0.59609,0.4332,0.65326,0.6537,0.67848,0.58406
Rassf10,7.87406,6.54585,7.10843,5.79836,5.57746,4.92915,3.6498,7.17612,4.98869
Myo1g,0.26247,0.39672,0.57636,0.21676,0.2166,0.11877,0.59922,0.41185,0.28784
Atxn7l2,11.54863,8.33108,12.10355,6.61121,6.55216,7.4828,9.8599,10.66109,7.62652
Rreb1,3.14963,4.95898,4.803,15.28166,14.67467,12.70888,11.98441,4.30387,13.66241
Mki67,7.34913,10.31467,10.18235,10.89225,10.34266,7.54219,5.22956,9.28205,8.50167
Fat1,155.38152,150.35619,160.99641,153.03337,144.20166,139.32263,151.11258,155.57804,146.91756
Asgr1,2.09975,1.19015,2.8818,1.73409,1.6245,1.30652,1.19844,2.05723,1.46589
Sh3d19,17.84788,15.27365,19.4041,29.91304,29.62009,27.6151,29.79761,17.50854,29.23646
Mill2,2.09975,0.9918,2.11332,1.02962,1.46205,0.83142,1.30739,1.73495,1.15762
Kif26b,14.69825,15.07529,13.06415,17.44927,16.62407,16.56906,18.249,14.27923,17.22285
Cntn5,12.5985,10.11631,11.33507,24.22306,23.50113,27.6151,27.23731,11.34996,25.64415
Glra1,3.41209,4.56226,3.07392,2.11342,1.5162,1.36591,1.19844,3.68276,1.54849
Fyb2,0.52494,0.79344,0.76848,1.08381,2.4909,2.07856,1.90661,0.69562,1.88997
Ldhc,0.52494,1.19015,1.53696,0.0,0.05415,0.11877,0.05447,1.08402,0.05685
Ptpn14,7.87406,8.52944,7.49267,17.66603,14.45807,15.14376,14.70815,7.96539,15.494
Gata2,3.14963,2.57867,1.9212,1.19219,1.5162,1.78162,1.41634,2.54983,1.47659
Cfap65,3.41209,1.98359,1.34484,1.62571,1.5162,1.60346,0.76264,2.24684,1.377
Flnc,3.93703,5.3557,5.57147,2.54694,2.76165,2.31611,2.83268,4.95473,2.61435
Clec18a,0.78741,1.38851,1.9212,1.08381,1.46205,1.30652,0.81712,1.36571,1.16737
Bicc1,4.46197,3.3721,5.57147,8.3453,8.50156,9.97707,7.84434,4.46852,8.66707
Cetn1,1.31234,0.9918,1.72908,0.0,0.0,0.0,0.0,1.34441,0.0
Npr1,3.14963,2.57867,3.65028,2.05923,2.32845,1.84101,1.96109,3.12619,2.04744
1700071K01Rik,0.78741,0.0,0.0,0.43352,0.37905,0.17816,0.10895,0.26247,0.27492
Rnase13,0.78741,0.0,0.0,0.10838,0.0,0.0,0.0,0.26247,0.0271
Zbtb32,0.0,0.59508,0.19212,1.02962,0.8664,1.60346,1.14397,0.2624,1.16086
Peak1,46.71944,45.02751,46.10876,55.11152,51.49672,48.04433,46.90264,45.9519,50.38881
Cpa6,0.26247,0.9918,0.38424,0.43352,0.7581,0.71265,0.76264,0.54617,0.66673
Gna14,1.31234,0.79344,0.76848,0.32514,0.4332,0.4751,0.16342,0.95809,0.34922
Omp,0.26247,0.19836,0.76848,0.43352,0.37905,0.11877,0.2179,0.40977,0.28731
Fer1l4,0.26247,0.19836,0.76848,0.0,0.0,0.0,0.0,0.40977,0.0
Fam111a,3.14963,3.76882,5.37935,3.73913,4.76521,4.09772,3.70427,4.09927,4.07658
Pnma1,5.77431,7.93436,7.68479,8.56207,7.09366,6.88893,5.44746,7.13116,6.99803
Slc2a12,3.41209,2.57867,4.03452,5.0397,4.87351,4.98853,5.50194,3.34176,5.10092
Gse1,48.29425,53.55696,47.06936,46.60365,45.37777,44.83742,50.49797,49.64019,46.8292
Cdk12,32.02119,32.53089,29.97069,55.87018,56.64098,54.69571,60.52129,31.50759,56.93204
Vwa3a,6.29925,3.76882,6.53207,5.31065,5.03596,5.40425,4.52139,5.53338,5.06806
Kcnk6,1.57481,1.38851,2.11332,5.0397,4.60276,4.57282,5.06614,1.69221,4.82035
Gab3,2.36222,2.57867,3.07392,2.2218,2.166,2.43488,2.50583,2.6716,2.33213
Ak4,3.41209,3.17375,2.68968,41.99747,42.23706,41.15541,37.85986,3.09184,40.81245
Fbxl12,4.46197,2.57867,4.99512,5.14808,4.44031,4.03834,3.214,4.01192,4.21018
Mpo,0.0,0.79344,0.38424,0.10838,0.0,0.0,0.2179,0.39256,0.08157
Slc29a4,11.28616,10.90975,12.67991,9.4833,9.96361,8.433,11.1673,11.62527,9.7618
Disc1,1.04988,1.78523,1.53696,1.08381,1.5162,1.36591,1.08949,1.45736,1.26385
Slc26a1,7.61159,6.54585,7.87691,2.49275,2.9241,2.7912,2.72373,7.34479,2.73295
Pard3b,4.1995,4.56226,3.07392,7.36988,7.41856,6.41383,7.13617,3.94523,7.08461
1700022I11Rik,0.0,0.39672,0.38424,0.32514,0.1083,0.0,0.0,0.26032,0.10836
Clca3a1,0.0,0.39672,0.38424,1.138,0.59565,0.71265,0.49027,0.26032,0.73414
Naalad2,2.36222,2.97539,2.68968,2.38437,2.0577,1.90039,1.36187,2.67576,1.92608
Sftpc,4.1995,1.98359,2.11332,0.48771,0.6498,0.53449,0.76264,2.76547,0.60866
Lrig3,7.34913,4.76062,4.61088,2.92628,3.3573,3.20691,3.10505,5.57354,3.14889
Fam161a,1.31234,1.58687,2.8818,2.54694,2.00355,3.08814,2.77821,1.927,2.60421
Rpl27a,0.78741,0.0,0.38424,86.32512,93.13813,88.66525,89.99206,0.39055,89.53014
Rpl29,0.78741,1.78523,1.72908,31.53875,26.10034,33.43506,41.01938,1.43391,33.02338
Pld5,5.77431,7.93436,6.91631,13.11405,13.59167,12.41195,12.58364,6.875,12.92533
Thsd4,11.54863,17.05888,14.21687,19.88783,16.89482,18.41007,16.28791,14.27479,17.87016
Lkaaear1,0.78741,1.58687,3.07392,0.10838,0.05415,0.0,0.0,1.81607,0.04063
Calca,1.04988,0.39672,1.72908,1.62571,1.78695,1.00958,0.54475,1.05856,1.24175
1700037C18Rik,3.67456,2.57867,2.8818,2.16761,1.8411,1.06897,1.36187,3.04501,1.60989
Myh8,0.78741,0.79344,0.76848,0.5419,1.02885,0.83142,1.03502,0.78311,0.8593
Sntn,0.78741,1.38851,0.57636,0.32514,0.27075,0.17816,0.4358,0.91743,0.30246
Cfp,0.52494,0.9918,1.34484,3.03466,2.32845,2.7912,1.41634,0.95386,2.39266
Bdh2,1.83728,2.57867,2.68968,0.75866,1.57035,1.12836,1.14397,2.36854,1.15034
Adamts9,2.88716,4.95898,4.22664,8.9414,8.44741,8.01729,7.13617,4.02426,8.13557
Tk1,0.0,0.79344,0.0,0.65028,0.81225,0.59387,0.4358,0.26448,0.62305
